Year + Name,Grade,Top Graded Population (All Graders),Total Mintage,Gem or Higher (>= 65) Survival Estimate,Retail Value,Average Annual Appreciation,Previous Sale 1,Previous Sale 2,Previous Sale 3,Notes
1794 Flowing Silver Hair Dollar,SP-66+,1,1758,2," $ 15,000,000 ",15%,"$10,016,000 - 2013","$500,000 - 1988","$50,000 - 1970",First US silver dollar ever made and the most valuable coin in the multi-thousand year history of this sector
1804 Draped Bust Silver Dollar,PR-68,1,15,4," $ 10,000,000 ",12%,"$7,680,000 - 2021","$4,140,000 - 1999",,"Made in the 1830s as high-end diplomatic gifts, known as ""The King of US Collectible Coins"". First coin to break both $100k and $1 million"
1913 Liberty Head Nickel,PR-66,1,5,1," $ 6,750,000 ",10%,"$4,560,000 - 2018","$1,840,000 - 2001","$100,000 - 1972","Very famous backstory, made by the mint after the series was discontinued for unknown reasons"
1894-S Barber Dime,PR-66,2,24,4," $ 2,550,000 ",12%,"$2,160,000 - 2025","$1,500,000 - 2020","$1,322,500 - 2005","24 made as presentation pieces, only 9 survived"
1909-S VDB Lincoln Cent,MS-67 RD,20,"484,000","3,000"," $ 165,000 ",15%,"$168,000 - 2022","$108,000 - 2022","$50,400 - 2019","Most famous 1c in American history, with V.D.B proudly displaying the designer's initials"
1916-D Mercury Dime,MS-67 FB,10,"264,000",75," $ 250,000 ",8%,"$204,000 - 2020","$152,750 - 2013","$97,750 - 2009","Lowest mintage of any Mercury dime, only 75 though to survive in gem condition with far less having full bands (FB)"
1949-S Roosevelt Dime,MS-68 FB,1,"13,510,000","10,000"," $ 10,500 ",11%,"$13,200 - 2021","$11,812 - 2020",,"Newly discovered in 2020, selling at 4x the previous MS-67+ record high"
1953-S Jefferson Nickel,MS-66 FS,2,"19,210,900","1,000"," $ 23,000 ",12%,"$21,600 - 2021","$13,200 - 2021",,"The rarest Jefferson nickel in terms of the coveted ""full steps"" designation, referring to a pristine minting of the stairs on the capital building"
1932-D Washington Quarter,MS-65+,9,"436,800",650," $ 26,000 ",48%,"$29,375 - 2021","$16,200 - 2021","$1,000 - 1985","Key date Washington Quarter, the crown jewel in any quarter collection"
1960-D Washington Quarter,MS-68,1,"63,000,324","10,000"," $ 7,500 ",7%,"$7,031.25 - 2024","$9,000 - 2019","$4,887.50 - 2008",Sleeper Washington Quarter year with the first ever example being upgraded from MS-67+ to MS-68 by NGC in 2008
1967 Washington Quarter,MS-69,3,"1,524,031,848","22,860,477"," $ 8,000 ",6%,"$8,100 - 2024","$4,800 - 2019","$8,800 - 2017","Despite the massive mintage (or perhaps thanks to it), a very small handful have reached the coveted MS-69 mark, indicating a near-perfect example of this familiar 25c piece"
1953-S Franklin Half Dollar,MS-66 FBL,2,"4,148,000",100," $ 60,000 ",9%,"$66,000 - 2024","$35,075 - 2001",,"Less than 50 total graded with the coveted full bell lines (FBL) designation, indicating a near perfect representation of the bell on the reverse of the coin"
1841 Seated Liberty Half Dime,MS-67,4,"1,150,000",30," $ 6,250 ",5%,"$5,500 - 2023","$4,113 - 2013","$3,220 - 2011","Highly sought after year with a relatively low mintage and very few surviving ""superb gem"" aka MS-66 or higher examples"
1879 Seated Liberty Quarter,MS-67+,9,"13,600",120," $ 12,500 ",6%,"$10,200 - 2021","$8,519 - 2020","$5,750 - 2016","An extremely low, early mintage of this iconic design paired with beautiful pastel toning makes this an extreme sought after example of the seated liberty quarter"
1911 Barber Dime,MS-68+,1,"18,770,000",750," $ 35,000 ",15%,"$30,500 - 2014",,,"A beautifully toned example of the classic Barber Dime type. Only appeared at auction once in 2014 with only 1 MS-68+ example, making the theoretical valuation as high as a registry collector is willing to pay for it with less upfront cost than many other types"
1895-O Barber Half Dollar,MS-67,3,"1,766,000",40," $ 35,000 ",7%,"$32,900 - 2014","$51,750 - 2010","$8,740 - 1998","A rare example of an often overlooked 50c type, this Barber 50c rarely appears at auctions and tends to experience periods of high volatility as attention is occasionally brought to its relative scarcity "
